park_name,branch_code,stage,route_code,route_name,route_code_2,route_name_2,strata,treat_route,treatment_window,Time (start hour),in_treatment_window,Number of observations,Observed average frequency (oaf),iqr_oaf,p25_oaf,p50_oaf,p75_oaf,route_fare
kisenyi_gwanda,17,17: Namugongo,namu_namu_g,NAMUGONGO,namu_namu_g,Namugongo,C,Yes?,11-3,14,1,8,83,30,58.75,77.5,88.75,3000
kisenyi_gwanda,18,18: Mukono-Lugazi,muko_muko_g,MUKONO-LUGAZI,muko_muko_g,Mukono-Lugazi,C,Yes,11-3,11,1,15,91.4,36,72.5,89,108.5,7000
kisenyi_gwanda,18,18: Mukono-Lugazi,muko_muko_g,MUKONO-LUGAZI,muko_muko_g,Mukono-Lugazi,C,Yes,11-3,12,1,10,73.1,46.75,46.75,73.5,93.5,7000
kisenyi_gwanda,18,18: Mukono-Lugazi,muko_muko_g,MUKONO-LUGAZI,muko_muko_g,Mukono-Lugazi,C,Yes,11-3,13,1,19,82.2631578947368,40.5,64.5,75,105,7000
kisenyi_gwanda,18,18: Mukono-Lugazi,muko_muko_g,MUKONO-LUGAZI,muko_muko_g,Mukono-Lugazi,C,Yes,11-3,14,1,13,83.4615384615385,33,61,80,94,7000
kisenyi_gwanda,19,19: Kajjansi,kajj_kajj_g,KAJJANSI,kajj_kajj_g,Kajjansi,C,Yes,11-3,11,1,21,60.7142857142857,38,34,51,72,4000
kisenyi_gwanda,19,19: Kajjansi,kajj_kajj_g,KAJJANSI,kajj_kajj_g,Kajjansi,C,Yes,11-3,12,1,29,51.9655172413793,23,37,52,60,4000
kisenyi_gwanda,19,19: Kajjansi,kajj_kajj_g,KAJJANSI,kajj_kajj_g,Kajjansi,C,Yes,11-3,13,1,27,47.4814814814815,28,32.5,46,60.5,4000
kisenyi_gwanda,19,19: Kajjansi,kajj_kajj_g,KAJJANSI,kajj_kajj_g,Kajjansi,C,Yes,11-3,14,1,31,41.6129032258064,25.5,30,40,55.5,4000
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,ssem_movi_g,MOVIT,ssem_movi_g,Movit,B,Yes,4-6,16,1,5,46.2,30,20,48,50,2000
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,ssem_movi_g,MOVIT,ssem_movi_g,Movit,B,Yes,4-6,17,1,19,51.4210526315789,33,25,45,58,2000
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,ssem_past_g,PASTOR TOM,ssem_past_g,Pastor Tom,B,Yes,2-6,14,1,14,64.0714285714286,38,48,63.5,86,2000
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,ssem_past_g,PASTOR TOM,ssem_past_g,Pastor Tom,B,Yes,2-6,15,1,13,57.9230769230769,46,36,52,82,2000
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,ssem_past_g,PASTOR TOM,ssem_past_g,Pastor Tom,B,Yes,2-6,16,1,16,50.1875,22,38.25,44.5,60.25,2000
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,ssem_past_g,PASTOR TOM,ssem_past_g,Pastor Tom,B,Yes,2-6,17,1,21,56.9523809523809,53,22,50,75,2000
kisenyi_gwanda,26,26: Salaama-Munyonyo,sala_muny_g,MUNYONYO ROUND ABOUT,sala_muny_g,Munyonyo Round About,B,Yes,12-4,12,1,19,70.8421052631579,41.5,42.5,65,84,2000
kisenyi_gwanda,26,26: Salaama-Munyonyo,sala_muny_g,MUNYONYO ROUND ABOUT,sala_muny_g,Munyonyo Round About,B,Yes,12-4,13,1,21,64.2380952380952,48,36,57,84,2000
kisenyi_gwanda,26,26: Salaama-Munyonyo,sala_muny_g,MUNYONYO ROUND ABOUT,sala_muny_g,Munyonyo Round About,B,Yes,12-4,14,1,21,61.8095238095238,30,50,65,80,2000
kisenyi_gwanda,26,26: Salaama-Munyonyo,sala_muny_g,MUNYONYO ROUND ABOUT,sala_muny_g,Munyonyo Round About,B,Yes,12-4,15,1,15,59.2,22.5,47.5,61,70,2000
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,ruba_nate_g,NATEETE STREET LIGHTS,ruba_nate_g,Nateete Street Lights,B,Yes,12-4,12,1,12,59.5,33.25,41,57.5,74.25,2000
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,ruba_nate_g,NATEETE STREET LIGHTS,ruba_nate_g,Nateete Street Lights,B,Yes,12-4,13,1,12,48.9166666666667,24,33.75,42,57.75,2000
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,ruba_nate_g,NATEETE STREET LIGHTS,ruba_nate_g,Nateete Street Lights,B,Yes,12-4,14,1,16,33,15.5,25.25,28.5,40.75,2000
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,ruba_nate_g,NATEETE STREET LIGHTS,ruba_nate_g,Nateete Street Lights,B,Yes,12-4,15,1,15,38.8,11,28,36,39,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_bujo_g,BUJJUKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_buye_g, luga_kawu_g)",9-1,9,1,10,46.4,36.25,31.25,48,67.5,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_bujo_g,BUJJUKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_buye_g, luga_kawu_g)",9-1,10,1,10,42.1,15,36,42.5,51,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_bujo_g,BUJJUKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_buye_g, luga_kawu_g)",9-1,11,1,6,45,42.5,26.25,32.5,68.75,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_bujo_g,BUJJUKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_buye_g, luga_kawu_g)",9-1,12,1,12,49.6666666666667,61,20.5,33,81.5,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_buye_g,BUYERA-TEMANGARO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_kawu_g)",9-1,9,1,14,47.7142857142857,24.75,35.25,52,60,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_buye_g,BUYERA-TEMANGARO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_kawu_g)",9-1,10,1,22,37,29,19.75,39.5,48.75,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_buye_g,BUYERA-TEMANGARO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_kawu_g)",9-1,11,1,18,44.7777777777778,13.75,36,42,49.75,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_buye_g,BUYERA-TEMANGARO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_kawu_g)",9-1,12,1,21,48.9523809523809,36,25,45,61,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_kawu_g,KAWOKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_buye_g)",9-1,9,1,14,44.9285714285714,33.75,26.25,42.5,60,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_kawu_g,KAWOKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_buye_g)",9-1,10,1,15,42.4,17,37,45,54,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_kawu_g,KAWOKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_buye_g)",9-1,11,1,13,37.1538461538462,25,25,36,50,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_kawu_g,KAWOKO,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),A,"Yes (only if merged with luga_bujo_g, luga_buye_g)",9-1,12,1,22,37.6818181818182,20,20,26,40,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_luga_g,LUGALA,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_masa_g, luga_nase_g)",9-1,9,1,13,59.0769230769231,38,42,65,80,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_luga_g,LUGALA,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_masa_g, luga_nase_g)",9-1,10,1,26,45.6153846153846,31.5,30.75,47.5,62.25,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_luga_g,LUGALA,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_masa_g, luga_nase_g)",9-1,11,1,40,29.65,20.75,19.25,30,40,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_luga_g,LUGALA,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_masa_g, luga_nase_g)",9-1,12,1,35,29.2857142857143,20,20,30,40,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_masa_g,MASANAFU,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_nase_g)",9-1,9,1,13,59.0769230769231,38,42,65,80,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_masa_g,MASANAFU,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_nase_g)",9-1,10,1,26,45.6153846153846,31.5,30.75,47.5,62.25,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_masa_g,MASANAFU,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_nase_g)",9-1,11,1,40,29.65,20.75,19.25,30,40,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_masa_g,MASANAFU,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_nase_g)",9-1,12,1,35,29.2857142857143,20,20,30,40,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_nase_g,NASERE,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_masa_g)",9-1,9,1,2,12.5,12.5,6.25,12.5,18.75,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_nase_g,NASERE,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_masa_g)",9-1,10,1,23,45,30,31.5,45,61.5,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_nase_g,NASERE,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_masa_g)",9-1,11,1,40,31.4,20,20,30,40,2000
kisenyi_gwanda,28,28: Lugala-Masanafu,luga_nase_g,NASERE,luga_0001_g,Lugala / Masanafu / Nasere (Merged),A,"Yes (only if merged with luga_luga_g, luga_masa_g)",9-1,12,1,33,29.2424242424242,20,20,30,40,2000
kisenyi_gwanda,30,30: Kawempe,kawe_matu_g,MATUGGA,kawe_matu_g,Matugga,A,Yes,9-1,9,1,20,56.3,28.25,36,51,64.25,3000
kisenyi_gwanda,30,30: Kawempe,kawe_matu_g,MATUGGA,kawe_matu_g,Matugga,A,Yes,9-1,10,1,27,51.0740740740741,36.5,27.5,43,64,3000
kisenyi_gwanda,30,30: Kawempe,kawe_matu_g,MATUGGA,kawe_matu_g,Matugga,A,Yes,9-1,11,1,28,42.6428571428571,17.75,33.25,41,51,3000
kisenyi_gwanda,30,30: Kawempe,kawe_matu_g,MATUGGA,kawe_matu_g,Matugga,A,Yes,9-1,12,1,30,41.8,24.75,29.25,43.5,54,3000
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,kawe_kawa,KAWANDA KILINYABIGO,kawe_kawa,Kawanda Kilinyabigo,D,Yes,11-3,11,1,24,50.5833333333333,43.75,28.75,45,72.5,3000
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,kawe_kawa,KAWANDA KILINYABIGO,kawe_kawa,Kawanda Kilinyabigo,D,Yes,11-3,12,1,43,34.5581395348837,39,9,31,48,3000
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,kawe_kawa,KAWANDA KILINYABIGO,kawe_kawa,Kawanda Kilinyabigo,D,Yes,11-3,13,1,37,29.5675675675676,30,10,28,40,3000
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,kawe_kawa,KAWANDA KILINYABIGO,kawe_kawa,Kawanda Kilinyabigo,D,Yes,11-3,14,1,37,33.7027027027027,34,10,29,44,3000
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,kale_tula,TULA KILOKOLE,kale_tula,Tula Kilokole,D,Yes,10-2,10,1,6,36.8333333333333,39.25,16.25,31,55.5,2000
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,kale_tula,TULA KILOKOLE,kale_tula,Tula Kilokole,D,Yes,10-2,11,1,23,48.6521739130435,19,34,44,53,2000
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,kale_tula,TULA KILOKOLE,kale_tula,Tula Kilokole,D,Yes,10-2,12,1,33,32.8787878787879,30,14,29,44,2000
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,kale_tula,TULA KILOKOLE,kale_tula,Tula Kilokole,D,Yes,10-2,13,1,39,34.1282051282051,29.5,17.5,33,47,2000
old_taxi_park,55,55: Ndejje,ndej_kana,KANAABA,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),D,Yes (only if merged with ndej_lubu),8-12,9,1,29,33.2413793103448,18,22,31,40,3500
old_taxi_park,55,55: Ndejje,ndej_kana,KANAABA,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),D,Yes (only if merged with ndej_lubu),8-12,10,1,31,26.6774193548387,29,13.5,22,42.5,3500
old_taxi_park,55,55: Ndejje,ndej_kana,KANAABA,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),D,Yes (only if merged with ndej_lubu),8-12,11,1,35,24.6,10.5,11.5,18,22,3500
old_taxi_park,55,55: Ndejje,ndej_kibu,KIBUTIKA,ndej_0002,Kibutika / Zanta (Merged),D,Yes (only if merged with ndej_zanta),10-12,10,1,2,26,17,17.5,26,34.5,3000
old_taxi_park,55,55: Ndejje,ndej_kibu,KIBUTIKA,ndej_0002,Kibutika / Zanta (Merged),D,Yes (only if merged with ndej_zanta),10-12,11,1,9,56.5555555555556,22,43,50,65,3000
old_taxi_park,55,55: Ndejje,ndej_lubu,LUBUGUMU KAKOLA,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),D,Yes (only if merged with ndej_kana),8-12,9,1,26,33.6538461538462,17.75,22.25,30.5,40,3000
old_taxi_park,55,55: Ndejje,ndej_lubu,LUBUGUMU KAKOLA,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),D,Yes (only if merged with ndej_kana),8-12,10,1,33,25.2727272727273,29,11,22,40,3000
old_taxi_park,55,55: Ndejje,ndej_lubu,LUBUGUMU KAKOLA,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),D,Yes (only if merged with ndej_kana),8-12,11,1,46,24.6739130434783,16.5,12.5,19,29,3000
old_taxi_park,55,55: Ndejje,ndej_zant,ZANTA,ndej_0002,Kibutika / Zanta (Merged),D,Yes (only if merged with ndej_kibu),10-12,10,1,2,26,17,17.5,26,34.5,3000
old_taxi_park,55,55: Ndejje,ndej_zant,ZANTA,ndej_0002,Kibutika / Zanta (Merged),D,Yes (only if merged with ndej_kibu),10-12,11,1,10,56.9,20,43.75,51.5,63.75,3000
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,meng_0001_n,Bugolo Bridge / Lusaze (MERGED),meng_0001_n,Bugolo Bridge / Lusaze (Merged),F,"Yes (only the merger of meng_lusa_n, meng_bugo_n)",11-3,11,1,21,65.0952380952381,31,43,58,74,2000
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,meng_0001_n,Bugolo Bridge / Lusaze (MERGED),meng_0001_n,Bugolo Bridge / Lusaze (Merged),F,"Yes (only the merger of meng_lusa_n, meng_bugo_n)",11-3,12,1,28,50.6785714285714,25.5,38.75,45,64.25,2000
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,meng_0001_n,Bugolo Bridge / Lusaze (MERGED),meng_0001_n,Bugolo Bridge / Lusaze (Merged),F,"Yes (only the merger of meng_lusa_n, meng_bugo_n)",11-3,13,1,34,36.0588235294118,15.75,27.25,32,43,2000
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,meng_0001_n,Bugolo Bridge / Lusaze (MERGED),meng_0001_n,Bugolo Bridge / Lusaze (Merged),F,"Yes (only the merger of meng_lusa_n, meng_bugo_n)",11-3,14,1,28,34.9285714285714,24,20.75,36,44.75,2000
new_taxi_park,96,96: Ndeeba,ndee_star_n,KITEBI STAR,ndee_star_n,Kitebi Star,G,Yes,11-3,11,1,6,84.5,44.5,65.5,75,110,2000
new_taxi_park,96,96: Ndeeba,ndee_star_n,KITEBI STAR,ndee_star_n,Kitebi Star,G,Yes,11-3,12,1,10,84.7,41.5,58,82.5,99.5,2000
new_taxi_park,96,96: Ndeeba,ndee_star_n,KITEBI STAR,ndee_star_n,Kitebi Star,G,Yes,11-3,13,1,5,108.2,30,85,103,115,2000
new_taxi_park,96,96: Ndeeba,ndee_star_n,KITEBI STAR,ndee_star_n,Kitebi Star,G,Yes,11-3,14,1,4,102.5,126,44,111.5,170,2000
new_taxi_park,98,98: Gayaza B,gaya_gaya_n,GAYAZA,gaya_gaya_n,Gayaza,E,Yes,8-12,9,1,15,43.5333333333333,21.5,32.5,43,54,3000
new_taxi_park,98,98: Gayaza B,gaya_gaya_n,GAYAZA,gaya_gaya_n,Gayaza,E,Yes,8-12,10,1,32,33.28125,27.5,19.5,32.5,47,3000
new_taxi_park,98,98: Gayaza B,gaya_gaya_n,GAYAZA,gaya_gaya_n,Gayaza,E,Yes,8-12,11,1,42,30.6428571428571,22.25,16.75,29,39,3000
