park_name,branch_code,stage,strata,route_code_2,route_name_2,Time (start hour),Observed average frequency (oaf),p75_oaf,max_route_fare,target_freq_route,calculated_payments
new_taxi_park,109,109: Kamwokya-Ntinda-Bukoto-Kisaasi-Kulambiro,G,kamw_0001_n,Kungu / Ntinda (Merged),11,70.15,95.875,3000,35,8.889178617992176
new_taxi_park,109,109: Kamwokya-Ntinda-Bukoto-Kisaasi-Kulambiro,G,kamw_0001_n,Kungu / Ntinda (Merged),12,58.7619047619048,70.125,3000,35,7.0124777183600715
new_taxi_park,109,109: Kamwokya-Ntinda-Bukoto-Kisaasi-Kulambiro,G,kamw_0001_n,Kungu / Ntinda (Merged),13,58.225328947368396,74.625,3000,35,7.433835845896147
new_taxi_park,109,109: Kamwokya-Ntinda-Bukoto-Kisaasi-Kulambiro,G,kamw_0001_n,Kungu / Ntinda (Merged),14,74.89285714285715,126.75,3000,35,10.134122287968442
new_taxi_park,111,111: Ntinda,G,ntin_kira_n,Kira,11,110.125,129.25,3000,45,9.125725338491296
new_taxi_park,111,111: Ntinda,G,ntin_kira_n,Kira,12,104.833333333333,133,3000,45,9.263157894736842
new_taxi_park,111,111: Ntinda,G,ntin_kira_n,Kira,13,104,135,3000,45,9.333333333333334
new_taxi_park,111,111: Ntinda,G,ntin_kira_n,Kira,14,59.8,83,3000,45,6.409638554216867
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,F,meng_0001_n,Bugolo Bridge / Lusaze (Merged),11,65.0952380952381,74,2000,25,9.27027027027027
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,F,meng_0001_n,Bugolo Bridge / Lusaze (Merged),12,50.6785714285714,64.25,2000,25,8.552529182879377
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,F,meng_0001_n,Bugolo Bridge / Lusaze (Merged),13,36.0588235294118,43,2000,25,5.86046511627907
new_taxi_park,95,95: Mengo-Rubaga-Kosovo-Lusaze,F,meng_0001_n,Bugolo Bridge / Lusaze (Merged),14,34.9285714285714,44.75,2000,25,6.17877094972067
new_taxi_park,96,96: Ndeeba,G,ndee_star_n,Kitebi Star,11,84.5,110,2000,45,8.272727272727272
new_taxi_park,96,96: Ndeeba,G,ndee_star_n,Kitebi Star,12,84.7,99.5,2000,45,7.668341708542713
new_taxi_park,96,96: Ndeeba,G,ndee_star_n,Kitebi Star,13,108.2,115,2000,45,8.521739130434783
new_taxi_park,96,96: Ndeeba,G,ndee_star_n,Kitebi Star,14,102.5,170,2000,45,10.294117647058824
new_taxi_park,98,98: Gayaza B,E,gaya_gaya_n,Gayaza,9,43.5333333333333,54,3000,20,8.814814814814815
new_taxi_park,98,98: Gayaza B,E,gaya_gaya_n,Gayaza,10,33.28125,47,3000,20,8.042553191489361
new_taxi_park,98,98: Gayaza B,E,gaya_gaya_n,Gayaza,11,30.6428571428571,39,3000,20,6.82051282051282
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,D,kawe_kawa,Kawanda Kilinyabigo,11,50.5833333333333,72.5,3000,20,10.137931034482758
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,D,kawe_kawa,Kawanda Kilinyabigo,12,34.5581395348837,48,3000,20,8.166666666666668
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,D,kawe_kawa,Kawanda Kilinyabigo,13,29.5675675675676,40,3000,20,7
old_taxi_park,35,35: Kawempe / Kawempe Kagoma Kawanda Matugga,D,kawe_kawa,Kawanda Kilinyabigo,14,33.7027027027027,44,3000,20,7.636363636363637
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,D,kale_tula,Tula Kilokole,10,36.8333333333333,55.5,2000,20,8.954954954954955
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,D,kale_tula,Tula Kilokole,11,48.6521739130435,53,2000,20,8.716981132075471
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,D,kale_tula,Tula Kilokole,12,32.8787878787879,44,2000,20,7.636363636363637
old_taxi_park,40,40: Kalerwe / Kalerwe-Ttula-Kidokolo-Kizingiza,D,kale_tula,Tula Kilokole,13,34.1282051282051,47,2000,20,8.042553191489361
old_taxi_park,55,55: Ndejje,D,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),9,33.4476127320955,40,3500,15,8.75
old_taxi_park,55,55: Ndejje,D,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),10,25.975073313783,41.25,3500,15,8.90909090909091
old_taxi_park,55,55: Ndejje,D,ndej_0001,Kanaaba / Lubugumu Kakola (Merged),11,24.63695652173915,25.5,3500,15,5.764705882352942
old_taxi_park,55,55: Ndejje,D,ndej_0002,Kibutika / Zanta (Merged),10,26,34.5,3000,20,5.884057971014493
old_taxi_park,55,55: Ndejje,D,ndej_0002,Kibutika / Zanta (Merged),11,56.7277777777778,64.375,3000,20,9.650485436893204
